,Latitude,Longitude,City,Country,Time,Temp (Celsius),Max Temp (Celsius),Cloudiness %,Wind Speed (m/s),Humidity %
121,62.1,126.7,Berdigestyakh,RU,1583862213,-27.87,-27.87,55,1.28,99
122,-14.9,50.28,Antalaha,MG,1583862214,27.63,27.63,91,8.47,82
123,63.45,120.32,Verkhnevilyuysk,RU,1583862044,-28.1,-28.1,100,2.04,97
124,66.15,-65.71,Pangnirtung,CA,1583862102,-28.0,-28.0,5,1.0,68
125,-33.7,-53.46,Chui,UY,1583862214,23.75,23.75,89,5.28,60
126,8.0,124.29,Marawi,PH,1583862214,23.33,23.33,44,2.68,87
127,66.94,-53.67,Sisimiut,GL,1583862214,-15.52,-15.52,100,2.41,85
128,55.57,44.9,Buturlino,RU,1583862214,4.17,4.17,99,3.68,86
129,-46.13,167.68,Tuatapere,NZ,1583862214,8.89,8.89,57,0.65,96
130,28.96,-13.64,Tías,ES,1583862214,20.42,21.0,0,8.2,82
131,65.83,21.69,Boden,SE,1583862214,-2.0,-2.0,90,2.6,100
132,-21.2,-175.2,Vaini,TO,1583862214,25.0,25.0,75,2.1,94
133,6.19,-67.49,Puerto Carreño,CO,1583862214,35.0,35.0,29,3.1,39
134,-6.22,155.63,Kieta,PG,1583862214,27.29,27.29,97,1.94,69
135,-18.19,31.55,Marondera,ZW,1583862215,18.26,18.26,87,2.68,77
136,-33.01,17.94,Saldanha,ZA,1583862215,26.0,26.0,24,5.7,44
137,11.67,92.75,Port Blair,IN,1583862215,26.94,26.94,0,3.13,70
138,-41.45,147.17,Launceston,AU,1583862215,10.06,10.56,2,0.5,87
139,-34.42,19.23,Hermanus,ZA,1583862215,21.3,22.22,35,4.47,75
140,-5.79,-35.21,Natal,BR,1583862207,31.0,31.0,40,4.6,66
141,41.59,-109.2,Rock Springs,US,1583861938,3.39,3.39,58,8.47,56
142,42.8,93.45,Kumul,CN,1583862215,-0.39,-0.39,0,1.65,32
143,-8.57,32.05,Laela,TZ,1583862215,15.98,15.98,100,2.22,95
144,35.6,103.21,Linxia Chengguanzhen,CN,1583862090,-0.59,-0.59,62,0.56,38
145,31.61,34.76,Kiryat Gat,IL,1583862181,15.09,17.22,89,3.6,67
146,58.97,-3.3,Stromness,GB,1583862216,6.21,6.67,40,11.3,75
147,69.38,178.42,Leningradskiy,RU,1583862216,-28.19,-28.19,81,1.95,85
148,51.07,132.56,Novyy Urgal,RU,1583862216,-19.22,-19.22,69,0.68,95
149,56.83,86.63,Zyryanskoye,RU,1583862216,-14.91,-14.91,100,2.32,95
150,57.24,107.32,Ulkan,RU,1583862216,-18.5,-18.5,100,4.49,96
151,5.38,-52.95,Sinnamary,GF,1583862216,26.27,26.27,95,5.32,72
152,37.83,12.67,Province of Trapani,IT,1583862216,12.44,15.56,40,3.6,62
153,65.75,150.85,Zyryanka,RU,1583862105,-32.07,-32.07,93,0.81,100
154,-29.75,-50.01,Capão da Canoa,BR,1583862216,24.61,24.61,14,4.75,85
155,-6.21,155.54,Arawa,PG,1583862216,27.29,27.29,97,1.94,69
156,32.98,75.72,Bhaderwah,IN,1583862217,2.99,2.99,43,2.13,47
157,14.42,78.23,Pulivendla,IN,1583862217,28.01,28.01,31,5.02,41
158,-5.56,-80.82,Sechura,PE,1583862217,23.76,23.76,3,6.66,89
159,-25.4,-70.48,Taltal,CL,1583862055,20.5,20.5,100,3.38,65
160,55.74,-97.86,Thompson,CA,1583862217,-16.0,-16.0,20,3.1,65
161,24.09,32.91,Aswān,EG,1583862092,28.32,28.32,46,7.15,16
162,14.69,-17.44,Dakar,SN,1583862217,33.12,38.0,0,5.1,45
163,-12.6,-69.18,Puerto Maldonado,PE,1583862217,36.91,36.91,73,0.68,39
164,-19.98,57.61,Cap Malheureux,MU,1583862217,26.52,27.0,40,4.1,88
165,-12.97,40.52,Pemba,MZ,1583862217,28.05,28.05,100,2.31,78
166,35.41,116.58,Jining,CN,1583862217,5.26,5.26,0,2.63,26
167,49.58,0.33,Arrondissement du Havre,FR,1583862217,13.12,13.89,90,7.7,100
168,-43.3,-65.1,Rawson,AR,1583862218,24.33,24.33,95,10.91,38
169,32.69,128.84,Fukuechō,JP,1583862218,9.0,9.0,20,10.8,61
170,47.65,53.35,Makat,KZ,1583862218,8.45,8.45,100,4.7,45
171,11.0,122.67,Dingle,PH,1583862088,23.24,23.24,0,2.97,70
172,3.38,-59.8,Lethem,GY,1583862218,36.72,36.72,58,6.1,28
173,46.67,-0.42,Arrondissement de Parthenay,FR,1583862218,12.04,12.22,90,7.7,93
174,63.76,121.62,Vilyuysk,RU,1583862218,-28.29,-28.29,91,3.01,97
175,-2.57,150.8,Kavieng,PG,1583862038,28.4,28.4,100,3.02,72
176,31.27,56.81,Rāvar,IR,1583862218,9.58,9.58,0,3.45,19
177,-3.75,-73.25,Iquitos,PE,1583862218,29.0,29.0,75,2.6,74
178,22.29,114.16,Hong Kong,HK,1583862018,19.31,20.0,20,6.7,49
179,-11.1,-77.61,Hualmay,PE,1583862219,27.44,27.44,0,5.21,52
180,-12.12,-73.0,Pangoa,PE,1583862219,33.07,33.07,51,2.03,43
181,-1.57,9.26,Omboué,GA,1583862219,26.28,26.28,97,1.49,87
182,-20.01,57.66,Grand Gaube,MU,1583862219,26.53,27.0,40,4.1,88
183,65.68,-18.09,Akureyri,IS,1583862219,1.0,1.0,75,18.5,74
184,-4.76,11.86,Loandjili,CG,1583862219,30.0,30.0,40,3.6,79
185,9.49,50.81,Bandarbeyla,SO,1583862219,25.61,25.61,0,8.76,75
186,53.39,-2.58,Warrington,GB,1583862219,10.43,12.22,20,9.8,71
187,-29.13,-56.55,Itaqui,BR,1583862219,37.56,37.56,0,2.3,19
188,49.82,-94.43,Kenora,CA,1583862219,-7.41,-7.0,5,4.1,67
189,63.79,74.52,Muravlenko,RU,1583862219,0.08,0.08,100,9.63,96
190,32.67,-17.1,Ponta do Sol,PT,1583862073,19.43,20.56,20,5.7,72
191,50.47,5.24,Marchin,BE,1583862219,12.54,13.33,75,10.3,87
192,37.72,-25.43,Vila Franca do Campo,PT,1583862220,17.0,17.0,20,5.1,82
193,-51.62,-69.22,Río Gallegos,AR,1583862220,13.0,13.0,100,4.1,43
194,53.92,9.52,Itzehoe,DE,1583862220,10.15,11.0,75,9.3,93
195,-41.07,145.92,Burnie,AU,1583862008,12.98,14.44,21,1.79,56
196,62.22,135.8,Dzhebariki-Khaya,RU,1583862220,-17.35,-17.35,100,1.64,87
197,55.1,-105.28,La Ronge,CA,1583862220,-12.0,-12.0,5,2.6,78
198,54.1,77.66,Bagan,RU,1583862220,-13.17,-13.17,0,1.42,85
199,4.14,96.13,Meulaboh,ID,1583862220,27.7,27.7,100,0.67,75
200,-0.72,8.78,Port-Gentil,GA,1583862220,30.0,30.0,40,4.6,79
201,66.42,112.4,Udachny,RU,1583862030,-32.0,-32.0,8,2.0,74
202,-10.62,150.67,Samarai,PG,1583862220,25.0,25.0,100,1.38,90
203,72.79,-56.15,Upernavik,GL,1583862220,-31.15,-31.15,3,4.08,92
204,36.82,21.7,Methóni,GR,1583862221,12.0,13.33,20,2.1,66
205,-2.68,111.62,Pangkalanbuun,ID,1583862221,23.85,23.85,5,0.74,91
206,61.99,5.14,Raudeberg,NO,1583862221,6.76,8.0,75,10.3,75
207,26.78,-101.42,Castaños,MX,1583862221,22.78,22.78,100,1.34,62
208,69.7,170.31,Pevek,RU,1583862069,-26.71,-26.71,96,1.96,97
209,-35.35,150.47,Ulladulla,AU,1583862221,12.86,15.0,40,3.1,100
210,-15.92,-46.11,Arinos,BR,1583862221,27.62,27.62,98,1.8,74
211,63.05,179.32,Beringovskiy,RU,1583862221,-16.91,-16.91,94,1.36,91
212,-33.02,27.91,East London,ZA,1583862221,21.0,21.0,75,3.6,100
213,-0.03,109.33,Pontianak,ID,1583862221,22.76,22.76,61,0.7,90
214,7.85,9.78,Wukari,NG,1583862221,35.41,35.41,8,1.82,24
215,-31.43,152.92,Port Macquarie,AU,1583862222,17.15,18.33,40,2.6,100
216,0.02,37.07,Nanyuki,KE,1583862222,17.88,17.88,87,0.54,80
217,-20.41,57.7,Mahébourg,MU,1583862058,26.62,27.0,40,4.1,88
218,69.3,139.9,Deputatsky,RU,1583862222,-35.88,-35.88,63,0.71,95
219,-33.04,-71.63,Valparaíso,CL,1583862222,18.98,20.0,0,2.6,77
220,3.77,12.25,Akonolinga,CM,1583862222,28.06,28.06,94,1.9,50
221,64.84,-147.72,Fairbanks,US,1583862032,-21.67,-20.0,90,3.1,91
222,8.33,-80.52,Natá,PA,1583862010,34.0,34.0,20,8.2,44
